                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8099,                 2.1809,                 1.1601,                0.42109,                0.36492,                0.30937,                0.08906,                   2.62,                 1.5385,                 1.1017,             0.00066506,             0.00066506,             0.00066506
                      2,                 2.6856,                 1.5671,                 1.1007,                0.45694,                0.41922,                 0.3659,                0.10801,                 2.5333,                 1.5005,                 1.0878,              0.0013152,              0.0013152,              0.0013152
                      3,                 2.6358,                 1.5232,                 1.0898,                0.44785,                0.43833,                 0.3861,                 0.1164,                 2.5089,                 1.4757,                 1.0701,              0.0019489,              0.0019489,              0.0019489
                      4,                 2.5777,                 1.4627,                 1.0768,                0.54014,                0.48531,                0.45349,                0.13527,                 2.4478,                  1.381,                 1.0579,              0.0019258,              0.0019258,              0.0019258
                      5,                 2.5319,                 1.4281,                 1.0686,                0.57232,                0.51002,                0.49622,                0.15893,                 2.3827,                 1.3232,                  1.047,               0.001901,               0.001901,               0.001901
                      6,                 2.4802,                 1.3685,                 1.0558,                0.60664,                   0.53,                0.53173,                0.17743,                 2.3066,                 1.2462,                 1.0347,              0.0018763,              0.0018763,              0.0018763
                      7,                 2.4537,                 1.3461,                 1.0489,                0.57677,                0.50442,                0.50373,                 0.1628,                 2.3653,                  1.298,                 1.0388,              0.0018515,              0.0018515,              0.0018515
                      8,                  2.427,                 1.3208,                 1.0406,                0.57461,                0.51703,                0.49596,                0.16012,                 2.3387,                 1.2794,                 1.0307,              0.0018267,              0.0018267,              0.0018267
                      9,                  2.408,                 1.3042,                 1.0356,                0.61905,                0.54438,                0.53967,                0.18434,                 2.2643,                 1.2195,                 1.0235,               0.001802,               0.001802,               0.001802
                     10,                 2.3939,                 1.2849,                 1.0334,                0.62645,                0.55343,                0.54783,                0.18248,                  2.309,                 1.2217,                 1.0244,              0.0017772,              0.0017772,              0.0017772
                     11,                 2.3527,                 1.2561,                 1.0251,                0.61837,                0.56106,                0.56263,                0.19177,                 2.2314,                 1.2051,                 1.0121,              0.0017525,              0.0017525,              0.0017525
                     12,                 2.3382,                 1.2473,                 1.0226,                0.62407,                0.57539,                0.56306,                0.19435,                  2.223,                 1.1883,                 1.0084,              0.0017278,              0.0017278,              0.0017278
                     13,                 2.3388,                 1.2331,                 1.0152,                0.60955,                0.54865,                0.56614,                0.19567,                 2.2367,                   1.18,                 1.0054,               0.001703,               0.001703,               0.001703
                     14,                 2.3059,                 1.2186,                  1.019,                0.67134,                0.58587,                0.59554,                0.20875,                 2.2042,                 1.1234,                 1.0113,              0.0016783,              0.0016783,              0.0016783
                     15,                 2.2934,                 1.2083,                  1.015,                0.65139,                 0.5732,                0.59488,                0.21149,                 2.2054,                 1.1205,                 1.0022,              0.0016535,              0.0016535,              0.0016535
                     16,                 2.2728,                 1.1975,                 1.0081,                0.64188,                0.57987,                0.58496,                0.20536,                 2.2164,                 1.1288,                 1.0039,              0.0016287,              0.0016287,              0.0016287
                     17,                 2.2706,                 1.1869,                 1.0039,                0.63938,                0.56848,                0.58978,                0.20492,                 2.1943,                 1.1288,                0.99573,               0.001604,               0.001604,               0.001604
                     18,                 2.2646,                 1.1797,                 1.0038,                0.67185,                0.58955,                0.61115,                0.21868,                 2.1648,                 1.1049,                 0.9929,              0.0015793,              0.0015793,              0.0015793
                     19,                 2.2528,                 1.1749,                 1.0031,                0.66103,                0.58791,                0.60882,                0.21411,                 2.1856,                 1.0985,                0.99345,              0.0015545,              0.0015545,              0.0015545
                     20,                 2.2397,                 1.1632,                0.99976,                0.67717,                0.59634,                0.62842,                0.22799,                 2.1442,                 1.0796,                0.98984,              0.0015298,              0.0015298,              0.0015298
                     21,                 2.2292,                 1.1478,                 1.0009,                0.65894,                0.59603,                0.61788,                0.22235,                 2.1312,                 1.0772,                 0.9891,               0.001505,               0.001505,               0.001505
                     22,                 2.2017,                 1.1388,                0.99547,                  0.655,                0.59227,                0.61008,                0.22249,                 2.1507,                  1.069,                0.99113,              0.0014803,              0.0014803,              0.0014803
                     23,                 2.2035,                  1.132,                0.99559,                0.67399,                0.60624,                0.63041,                0.22967,                  2.122,                 1.0686,                0.98373,              0.0014555,              0.0014555,              0.0014555
                     24,                 2.1906,                 1.1233,                0.99333,                0.66272,                0.60641,                0.62892,                  0.227,                 2.1267,                  1.055,                0.98152,              0.0014307,              0.0014307,              0.0014307
                     25,                 2.1796,                 1.1194,                0.99362,                0.68899,                0.62735,                0.64447,                 0.2382,                 2.0757,                 1.0406,                0.97806,               0.001406,               0.001406,               0.001406
                     26,                 2.1728,                 1.1119,                0.98728,                0.67202,                0.59583,                0.62316,                0.22759,                 2.1175,                 1.0509,                0.97862,              0.0013813,              0.0013813,              0.0013813
                     27,                 2.1685,                 1.1063,                0.98799,                0.69409,                0.62681,                0.64907,                0.24275,                 2.0911,                  1.027,                0.97929,              0.0013565,              0.0013565,              0.0013565
                     28,                 2.1539,                 1.0979,                0.98596,                 0.6833,                0.61586,                0.64161,                 0.2354,                 2.0853,                 1.0449,                0.97814,              0.0013318,              0.0013318,              0.0013318
                     29,                 2.1427,                 1.0837,                0.98057,                0.67229,                0.60641,                0.63386,                0.23574,                 2.0868,                 1.0275,                0.97649,               0.001307,               0.001307,               0.001307
                     30,                 2.1402,                 1.0897,                0.98079,                0.69201,                0.61912,                0.65181,                0.24459,                  2.064,                 1.0136,                0.97319,              0.0012822,              0.0012822,              0.0012822
                     31,                 2.1194,                 1.0693,                0.97787,                0.69064,                0.62664,                0.65375,                0.24448,                 2.0749,                 1.0093,                0.97558,              0.0012575,              0.0012575,              0.0012575
                     32,                 2.1245,                 1.0761,                0.97615,                0.69662,                0.62338,                0.65507,                0.24686,                 2.0646,                 1.0088,                0.97207,              0.0012328,              0.0012328,              0.0012328
                     33,                 2.1088,                 1.0691,                0.97651,                0.70176,                0.63599,                0.65884,                0.24765,                  2.056,                 1.0024,                0.97219,               0.001208,               0.001208,               0.001208
                     34,                 2.0945,                 1.0586,                0.97219,                0.70328,                0.63874,                0.66287,                0.25171,                 2.0351,                0.99572,                 0.9695,              0.0011833,              0.0011833,              0.0011833
                     35,                 2.0858,                 1.0448,                0.97336,                0.69071,                 0.6363,                0.65807,                0.24849,                 2.0543,                0.99026,                0.97244,              0.0011585,              0.0011585,              0.0011585
                     36,                 2.0929,                 1.0484,                0.97625,                0.70195,                0.63467,                 0.6663,                0.25404,                 2.0284,                0.98906,                0.96721,              0.0011337,              0.0011337,              0.0011337
                     37,                 2.0759,                 1.0411,                0.96834,                0.71977,                0.64192,                0.67364,                0.25774,                 2.0144,                0.97499,                0.96718,               0.001109,               0.001109,               0.001109
                     38,                 2.0585,                 1.0327,                0.96814,                0.71117,                0.64037,                0.66877,                0.25584,                 2.0217,                0.97583,                0.96623,              0.0010842,              0.0010842,              0.0010842
                     39,                 2.0556,                 1.0321,                0.96775,                0.70766,                0.64213,                0.67116,                0.25601,                 2.0248,                0.97552,                0.96639,              0.0010595,              0.0010595,              0.0010595
                     40,                 2.0681,                  1.031,                0.96413,                0.69904,                0.64169,                0.67168,                0.25519,                 2.0201,                0.97262,                0.96685,              0.0010347,              0.0010347,              0.0010347
                     41,                 2.0472,                 1.0195,                0.96603,                 0.7131,                0.65013,                 0.6796,                 0.2621,                 2.0154,                0.95658,                0.96648,                0.00101,                0.00101,                0.00101
                     42,                 2.0391,                 1.0149,                0.96374,                0.71561,                0.64936,                0.68267,                0.26529,                 2.0033,                0.96116,                0.96311,             0.00098525,             0.00098525,             0.00098525
                     43,                 2.0196,                 1.0033,                0.96143,                0.71598,                0.65247,                0.67867,                0.26225,                 2.0148,                0.95313,                0.96525,              0.0009605,              0.0009605,              0.0009605
                     44,                 2.0227,                 1.0042,                0.96141,                0.71723,                 0.6604,                0.68964,                0.26697,                 1.9952,                 0.9586,                0.96247,             0.00093575,             0.00093575,             0.00093575
                     45,                 2.0158,                0.99543,                0.95672,                0.71152,                0.63775,                0.67556,                0.26139,                 2.0128,                0.95925,                0.96587,               0.000911,               0.000911,               0.000911
                     46,                 2.0107,                0.99982,                 0.9586,                 0.7203,                0.65074,                0.68247,                0.26521,                  1.993,                0.94912,                0.96481,             0.00088625,             0.00088625,             0.00088625
                     47,                 2.0107,                0.99269,                0.95697,                0.71836,                0.65389,                  0.682,                0.26439,                 2.0002,                0.95279,                 0.9632,              0.0008615,              0.0008615,              0.0008615
                     48,                 1.9994,                0.98306,                0.95449,                0.73543,                0.64977,                0.68953,                0.26835,                 1.9846,                0.93384,                0.96133,             0.00083675,             0.00083675,             0.00083675
                     49,                 1.9798,                0.97353,                0.95217,                0.73035,                0.65836,                0.69441,                0.27171,                 1.9803,                0.93652,                0.95986,               0.000812,               0.000812,               0.000812
                     50,                 1.9707,                0.96851,                0.95333,                0.72443,                0.66894,                0.69332,                0.27021,                 1.9825,                0.93203,                0.96013,             0.00078725,             0.00078725,             0.00078725
                     51,                 1.9756,                0.97005,                0.95209,                0.71942,                0.66711,                0.69188,                0.27011,                 1.9725,                0.93119,                0.95895,              0.0007625,              0.0007625,              0.0007625
                     52,                 1.9646,                0.95947,                0.95065,                0.73121,                 0.6691,                0.69837,                0.27226,                  1.984,                 0.9276,                0.95985,             0.00073775,             0.00073775,             0.00073775
                     53,                 1.9567,                0.96135,                0.95121,                0.73926,                0.66467,                0.69979,                0.27557,                 1.9659,                0.92101,                0.95665,               0.000713,               0.000713,               0.000713
                     54,                 1.9531,                0.95452,                0.94811,                0.73536,                0.66965,                 0.6976,                0.27299,                 1.9729,                0.92113,                0.95833,             0.00068825,             0.00068825,             0.00068825
                     55,                 1.9358,                0.94697,                0.94477,                0.74075,                0.66548,                0.69965,                0.27475,                 1.9645,                0.91761,                0.95763,              0.0006635,              0.0006635,              0.0006635
                     56,                 1.9249,                0.93914,                0.94573,                0.74584,                0.67067,                0.70695,                 0.2792,                 1.9563,                0.91131,                0.95426,             0.00063875,             0.00063875,             0.00063875
                     57,                 1.9227,                 0.9365,                0.94481,                0.74663,                0.66636,                0.70586,                 0.2783,                  1.953,                0.91224,                0.95431,               0.000614,               0.000614,               0.000614
