                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7136,                 1.7315,                 1.1341,                0.45369,                 0.3821,                 0.3575,                0.10674,                 2.5504,                 1.4834,                  1.095,             0.00066506,             0.00066506,             0.00066506
                      2,                 2.6869,                 1.5631,                 1.1019,                0.34791,                0.32801,                0.26051,                0.07556,                 2.7416,                 1.8819,                 1.1265,              0.0013152,              0.0013152,              0.0013152
                      3,                 2.6219,                 1.5129,                 1.0855,                0.44335,                0.42905,                0.37043,                0.11252,                 2.5369,                 1.4746,                 1.0728,              0.0019489,              0.0019489,              0.0019489
                      4,                 2.5613,                 1.4553,                 1.0731,                0.52158,                0.48022,                0.44901,                 0.1372,                  2.455,                 1.3864,                 1.0546,              0.0019258,              0.0019258,              0.0019258
                      5,                 2.5081,                 1.4049,                 1.0609,                 0.5805,                  0.479,                0.48231,                0.15818,                 2.3771,                 1.3027,                 1.0429,               0.001901,               0.001901,               0.001901
                      6,                 2.4498,                 1.3464,                 1.0458,                0.52221,                0.48907,                0.45567,                0.14422,                 2.3719,                 1.3554,                 1.0364,              0.0018763,              0.0018763,              0.0018763
                      7,                 2.4205,                 1.3203,                 1.0404,                0.57744,                0.52323,                0.51559,                 0.1696,                 2.3663,                 1.2523,                 1.0381,              0.0018515,              0.0018515,              0.0018515
                      8,                    2.4,                 1.2963,                 1.0317,                0.60302,                0.54347,                0.53402,                0.17827,                  2.308,                 1.2269,                 1.0238,              0.0018267,              0.0018267,              0.0018267
                      9,                 2.3661,                 1.2713,                 1.0253,                0.59996,                0.54052,                0.53802,                0.18275,                 2.2523,                 1.2042,                 1.0136,               0.001802,               0.001802,               0.001802
                     10,                 2.3622,                  1.259,                 1.0242,                 0.6417,                0.57153,                0.57479,                0.19804,                 2.2443,                 1.1647,                 1.0111,              0.0017772,              0.0017772,              0.0017772
                     11,                 2.3162,                 1.2297,                 1.0172,                0.55073,                0.50178,                0.49165,                0.15986,                 2.3163,                 1.2867,                  1.022,              0.0017525,              0.0017525,              0.0017525
                     12,                 2.3074,                 1.2204,                  1.015,                0.63835,                0.58329,                0.58897,                0.20912,                  2.193,                  1.141,                0.99889,              0.0017278,              0.0017278,              0.0017278
                     13,                 2.3037,                 1.2046,                  1.008,                 0.6309,                0.56884,                0.57732,                0.20499,                 2.2014,                 1.1533,                 1.0011,               0.001703,               0.001703,               0.001703
                     14,                 2.2647,                 1.1921,                 1.0084,                0.66219,                0.58149,                0.60742,                 0.2204,                 2.1679,                 1.1062,                0.99718,              0.0016783,              0.0016783,              0.0016783
                     15,                 2.2541,                 1.1775,                 1.0053,                  0.633,                 0.5513,                 0.5707,                0.20019,                 2.2226,                 1.1466,                0.99882,              0.0016535,              0.0016535,              0.0016535
                     16,                 2.2289,                 1.1656,                0.99844,                0.64627,                0.58271,                0.59999,                0.21233,                 2.1816,                 1.1108,                0.99383,              0.0016287,              0.0016287,              0.0016287
                     17,                 2.2254,                 1.1509,                0.99448,                0.65405,                 0.5877,                0.61458,                0.21976,                 2.1437,                 1.0902,                0.98609,               0.001604,               0.001604,               0.001604
                     18,                 2.2168,                 1.1436,                0.99394,                 0.6685,                0.59402,                0.61757,                0.22566,                 2.1262,                 1.0863,                0.98627,              0.0015793,              0.0015793,              0.0015793
                     19,                  2.204,                 1.1367,                0.99152,                0.65069,                0.58688,                0.60009,                0.21439,                  2.154,                 1.1198,                 0.9857,              0.0015545,              0.0015545,              0.0015545
                     20,                 2.1983,                 1.1334,                0.98905,                0.67728,                0.60944,                0.64046,                0.23685,                 2.1022,                 1.0638,                0.97787,              0.0015298,              0.0015298,              0.0015298
                     21,                 2.1838,                 1.1204,                0.98788,                0.64593,                0.60336,                0.62039,                 0.2293,                 2.1039,                 1.0758,                0.97402,               0.001505,               0.001505,               0.001505
                     22,                 2.1583,                 1.1077,                0.98469,                0.66977,                0.60285,                0.62069,                0.22908,                 2.1042,                 1.0562,                0.97914,              0.0014803,              0.0014803,              0.0014803
                     23,                 2.1468,                 1.0961,                 0.9822,                0.69133,                0.62023,                0.64577,                0.24013,                  2.089,                 1.0433,                0.97314,              0.0014555,              0.0014555,              0.0014555
                     24,                 2.1412,                 1.0894,                0.98048,                0.67926,                0.61688,                0.64141,                0.23841,                 2.0856,                 1.0397,                0.97293,              0.0014307,              0.0014307,              0.0014307
                     25,                 2.1302,                  1.087,                0.98095,                 0.7003,                0.64087,                0.66119,                0.25012,                 2.0478,                 1.0164,                0.96846,               0.001406,               0.001406,               0.001406
                     26,                  2.124,                 1.0757,                0.97458,                0.69386,                0.64118,                0.65551,                0.24589,                 2.0637,                 1.0136,                0.96853,              0.0013813,              0.0013813,              0.0013813
                     27,                 2.1134,                 1.0704,                0.97362,                 0.7072,                0.63894,                0.66597,                0.25198,                 2.0544,                 1.0101,                0.96882,              0.0013565,              0.0013565,              0.0013565
                     28,                  2.097,                   1.06,                0.97195,                0.69214,                0.61973,                0.64747,                0.24157,                 2.0698,                 1.0225,                0.96846,              0.0013318,              0.0013318,              0.0013318
                     29,                 2.0896,                 1.0541,                0.96735,                0.69431,                0.63071,                0.65836,                0.24685,                 2.0613,                 1.0039,                0.96735,               0.001307,               0.001307,               0.001307
                     30,                 2.0876,                 1.0563,                0.96728,                0.71004,                0.63599,                0.66882,                0.25595,                 2.0441,                0.99247,                0.96353,              0.0012822,              0.0012822,              0.0012822
                     31,                 2.0689,                 1.0372,                0.96358,                0.70169,                0.64551,                0.66946,                0.25847,                 2.0301,                0.98987,                0.96006,              0.0012575,              0.0012575,              0.0012575
                     32,                 2.0661,                 1.0378,                0.96132,                0.70829,                0.64565,                0.67497,                0.25909,                  2.023,                0.98875,                0.95819,              0.0012328,              0.0012328,              0.0012328
                     33,                 2.0535,                 1.0322,                0.96118,                 0.7053,                0.64301,                0.67371,                0.25903,                 2.0235,                0.99193,                 0.9587,               0.001208,               0.001208,               0.001208
                     34,                 2.0404,                 1.0228,                0.95817,                0.70488,                0.65013,                0.67639,                0.26022,                 2.0106,                0.96901,                0.95804,              0.0011833,              0.0011833,              0.0011833
                     35,                 2.0243,                 1.0124,                0.95766,                0.70619,                0.65236,                0.67642,                0.26245,                 2.0087,                 0.9746,                0.95903,              0.0011585,              0.0011585,              0.0011585
