                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.0376,                 1.0161,                0.96092,                0.70203,                0.64575,                0.67717,                0.26035,                 2.0078,                0.97229,                0.95521,              0.0011337,              0.0011337,              0.0011337
                     37,                 2.0179,                 1.0067,                0.95313,                0.71008,                0.65247,                0.68303,                0.26587,                 1.9872,                0.96301,                0.95452,               0.001109,               0.001109,               0.001109
                     38,                 1.9991,                  0.998,                 0.9528,                0.72452,                0.65541,                0.68997,                0.26847,                 1.9875,                0.95126,                0.95398,              0.0010842,              0.0010842,              0.0010842
                     39,                 1.9925,                0.98896,                0.95184,                0.72153,                0.65501,                0.69075,                0.26748,                 1.9929,                0.94709,                0.95285,              0.0010595,              0.0010595,              0.0010595
                     40,                 2.0019,                0.98835,                0.94768,                0.70624,                0.66393,                0.69104,                0.27015,                 1.9816,                 0.9449,                0.95221,              0.0010347,              0.0010347,              0.0010347
                     41,                 1.9829,                0.97925,                0.94904,                0.72388,                0.67307,                0.69898,                0.27659,                 1.9722,                0.92997,                0.95321,                0.00101,                0.00101,                0.00101
                     42,                 1.9802,                0.97649,                0.94749,                0.73029,                0.66192,                0.69819,                0.27351,                 1.9765,                0.93579,                0.95095,             0.00098525,             0.00098525,             0.00098525
                     43,                 1.9547,                0.96359,                0.94459,                0.71877,                0.67072,                0.70036,                0.27563,                 1.9639,                0.92674,                0.95195,              0.0009605,              0.0009605,              0.0009605
                     44,                  1.955,                0.96214,                0.94475,                0.72025,                0.66231,                0.69867,                 0.2756,                 1.9701,                0.93862,                0.95045,             0.00093575,             0.00093575,             0.00093575
                     45,                 1.9494,                0.95428,                0.93927,                0.72657,                0.66101,                0.69882,                0.27545,                 1.9646,                0.92902,                0.95026,               0.000911,               0.000911,               0.000911
                     46,                 1.9371,                0.95322,                0.94023,                0.72816,                0.67816,                0.70051,                0.27638,                 1.9628,                0.91811,                0.95131,             0.00088625,             0.00088625,             0.00088625
                     47,                 1.9391,                 0.9481,                0.93979,                0.73536,                0.67321,                0.71011,                0.27955,                 1.9627,                0.92015,                0.94881,              0.0008615,              0.0008615,              0.0008615
                     48,                 1.9277,                0.93872,                0.93678,                0.73564,                0.68359,                0.70717,                0.28273,                 1.9535,                0.90448,                0.94889,             0.00083675,             0.00083675,             0.00083675
                     49,                 1.9055,                0.93248,                0.93431,                0.73044,                0.68317,                0.71181,                0.28413,                 1.9523,                0.91143,                0.94858,               0.000812,               0.000812,               0.000812
                     50,                 1.8959,                0.92135,                0.93517,                 0.7365,                0.66616,                0.70326,                0.27918,                 1.9547,                0.90988,                0.95109,             0.00078725,             0.00078725,             0.00078725
                     51,                 1.8948,                0.92114,                 0.9328,                0.73416,                0.68541,                0.71234,                0.28696,                 1.9325,                0.89854,                0.94647,              0.0007625,              0.0007625,              0.0007625
                     52,                 1.8853,                0.91418,                0.93192,                  0.729,                0.68297,                0.70891,                0.28522,                   1.94,                0.90098,                0.94747,             0.00073775,             0.00073775,             0.00073775
                     53,                 1.8776,                0.91399,                0.93114,                0.74737,                0.68663,                0.71667,                0.28944,                 1.9265,                0.88972,                0.94428,               0.000713,               0.000713,               0.000713
                     54,                 1.8697,                0.90477,                0.92809,                0.74585,                0.68165,                0.71476,                0.28847,                 1.9273,                0.88927,                0.94556,             0.00068825,             0.00068825,             0.00068825
                     55,                 1.8484,                 0.8963,                0.92448,                 0.7503,                0.68436,                0.71946,                0.29207,                   1.91,                0.87845,                0.94233,              0.0006635,              0.0006635,              0.0006635
                     56,                  1.835,                0.88492,                0.92436,                0.74933,                0.68025,                0.71927,                 0.2878,                 1.9325,                0.87933,                0.94587,             0.00063875,             0.00063875,             0.00063875
                     57,                 1.8354,                0.88203,                0.92411,                0.75436,                0.68368,                0.72392,                0.29169,                 1.9184,                0.87609,                0.94302,               0.000614,               0.000614,               0.000614
                     58,                 1.8194,                0.88095,                0.92278,                0.74912,                0.68653,                0.72561,                 0.2935,                 1.9154,                 0.8723,                0.94285,             0.00058925,             0.00058925,             0.00058925
                     59,                 1.7989,                0.86286,                0.92135,                0.74916,                0.68904,                0.72114,                 0.2933,                 1.9179,                0.87023,                 0.9439,              0.0005645,              0.0005645,              0.0005645
                     60,                 1.8093,                0.86606,                0.91749,                0.74967,                0.69375,                0.72412,                0.29442,                 1.9081,                0.86831,                0.94263,             0.00053975,             0.00053975,             0.00053975
                     61,                 1.7932,                0.86264,                0.91675,                0.75488,                0.69324,                0.72876,                0.29576,                 1.9047,                0.86458,                0.94215,               0.000515,               0.000515,               0.000515
                     62,                 1.7828,                 0.8526,                0.91652,                0.74958,                0.68836,                0.72123,                 0.2943,                 1.9072,                0.86251,                0.94332,             0.00049025,             0.00049025,             0.00049025
                     63,                 1.7804,                0.85012,                0.91372,                0.75242,                0.69273,                0.72815,                0.29796,                 1.8991,                0.86112,                0.94127,              0.0004655,              0.0004655,              0.0004655
                     64,                 1.7672,                 0.8426,                0.91301,                0.76078,                 0.6967,                 0.7326,                0.29937,                 1.8952,                0.85355,                  0.941,             0.00044075,             0.00044075,             0.00044075
                     65,                 1.7612,                0.84047,                0.91053,                0.75781,                0.69676,                0.73572,                0.30052,                 1.8926,                 0.8523,                0.94063,               0.000416,               0.000416,               0.000416
                     66,                 1.7444,                0.83396,                0.90961,                0.75415,                0.70005,                0.73352,                 0.3006,                  1.897,                0.85226,                0.94031,             0.00039125,             0.00039125,             0.00039125
                     67,                 1.7405,                0.83086,                 0.9095,                0.76664,                0.69405,                0.73448,                0.30184,                  1.892,                0.84965,                 0.9403,              0.0003665,              0.0003665,              0.0003665
                     68,                 1.7228,                0.82071,                0.90481,                0.76616,                 0.7029,                0.73855,                0.30269,                 1.8882,                0.84545,                0.94006,             0.00034175,             0.00034175,             0.00034175
                     69,                 1.7208,                0.81847,                0.90435,                0.76296,                0.70402,                0.73877,                0.30298,                  1.884,                0.84402,                0.94033,               0.000317,               0.000317,               0.000317
                     70,                 1.7075,                0.80618,                0.90114,                0.76858,                0.70307,                0.74085,                0.30572,                  1.879,                0.83795,                0.94014,             0.00029225,             0.00029225,             0.00029225
                     71,                 1.6961,                0.80682,                0.91869,                0.77201,                0.70375,                0.74092,                0.31362,                 1.8438,                0.83284,                0.93595,              0.0002675,              0.0002675,              0.0002675
                     72,                 1.6687,                0.78934,                0.91299,                0.77748,                0.71032,                0.74753,                0.31656,                 1.8414,                 0.8255,                0.93646,             0.00024275,             0.00024275,             0.00024275
                     73,                 1.6523,                0.78662,                0.91004,                0.77819,                 0.7089,                 0.7458,                0.31818,                  1.835,                0.82445,                0.93583,               0.000218,               0.000218,               0.000218
                     74,                 1.6439,                0.77702,                0.90831,                0.78105,                 0.7138,                0.74981,                0.31926,                 1.8339,                0.81998,                0.93581,             0.00019325,             0.00019325,             0.00019325
                     75,                 1.6295,                0.77081,                0.90508,                0.78057,                 0.7158,                0.75243,                0.31906,                 1.8322,                0.81872,                0.93586,              0.0001685,              0.0001685,              0.0001685
                     76,                  1.621,                 0.7678,                0.90771,                0.78743,                0.71378,                0.75271,                0.32061,                  1.829,                0.81654,                 0.9351,             0.00014375,             0.00014375,             0.00014375
                     77,                 1.6119,                0.76008,                0.90394,                 0.7869,                0.71114,                 0.7506,                0.32083,                 1.8231,                0.81522,                0.93371,               0.000119,               0.000119,               0.000119
                     78,                 1.6053,                0.76134,                0.90303,                0.78678,                0.71063,                0.75058,                0.32283,                 1.8179,                0.81045,                0.93313,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                 1.6004,                0.75576,                 0.9003,                0.78627,                0.71134,                0.75175,                 0.3235,                 1.8186,                0.80924,                0.93343,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                 1.5778,                0.74533,                0.89846,                0.78861,                0.71083,                  0.753,                0.32307,                 1.8189,                0.80846,                 0.9338,              4.475e-05,              4.475e-05,              4.475e-05
