                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.995,                 0.9883,                 0.9596,                0.71019,                0.65081,                0.67985,                0.26054,                 2.0137,                0.97231,                0.96698,              0.0011585,              0.0011585,              0.0011585
                     36,                 2.0019,                0.99186,                0.96249,                 0.7154,                  0.624,                0.67181,                0.25905,                 2.0052,                0.96763,                0.96524,              0.0011337,              0.0011337,              0.0011337
                     37,                 1.9845,                0.98232,                0.95512,                0.69668,                0.63335,                0.66615,                0.25683,                 2.0008,                0.96754,                0.96479,               0.001109,               0.001109,               0.001109
                     38,                 1.9617,                0.97009,                 0.9541,                0.71549,                 0.6543,                0.68543,                0.26702,                 1.9864,                0.95322,                0.96297,              0.0010842,              0.0010842,              0.0010842
                     39,                  1.958,                0.96462,                0.95242,                0.72624,                0.64281,                0.68691,                 0.2659,                  1.996,                0.94439,                0.96347,              0.0010595,              0.0010595,              0.0010595
                     40,                 1.9651,                0.96312,                0.94831,                0.70528,                0.64047,                0.67682,                0.26172,                 1.9939,                0.95381,                 0.9618,              0.0010347,              0.0010347,              0.0010347
                     41,                 1.9505,                0.95636,                0.95083,                0.72342,                 0.6543,                0.68743,                0.26762,                 1.9894,                0.94018,                0.96278,                0.00101,                0.00101,                0.00101
                     42,                 1.9441,                0.95093,                0.94914,                0.71461,                0.65043,                0.68576,                0.26851,                 1.9839,                0.93829,                0.96201,             0.00098525,             0.00098525,             0.00098525
                     43,                 1.9163,                0.93552,                0.94605,                0.72079,                 0.6486,                0.68858,                0.26933,                 1.9837,                0.92481,                0.96256,              0.0009605,              0.0009605,              0.0009605
                     44,                 1.9181,                0.93649,                0.94678,                0.73068,                0.65165,                0.68983,                0.27149,                  1.971,                0.93386,                0.96004,             0.00093575,             0.00093575,             0.00093575
                     45,                 1.9064,                0.92774,                 0.9404,                0.72247,                0.65267,                0.69328,                0.27037,                 1.9823,                0.92817,                0.96296,               0.000911,               0.000911,               0.000911
                     46,                 1.9021,                 0.9265,                0.94208,                 0.7333,                0.65938,                0.69552,                0.27352,                 1.9747,                0.91596,                0.96214,             0.00088625,             0.00088625,             0.00088625
                     47,                 1.8998,                0.92406,                0.94117,                0.73774,                0.66444,                0.70375,                0.27576,                 1.9721,                0.91386,                0.96019,              0.0008615,              0.0008615,              0.0008615
                     48,                 1.8847,                0.91226,                0.93784,                0.73355,                0.67138,                0.70407,                0.27621,                 1.9719,                0.90418,                0.96124,             0.00083675,             0.00083675,             0.00083675
                     49,                 1.8604,                0.90175,                0.93414,                0.73414,                0.66101,                0.70068,                0.27601,                  1.978,                0.90858,                0.96011,               0.000812,               0.000812,               0.000812
                     50,                 1.8549,                0.89679,                0.93595,                0.72684,                0.65948,                0.70097,                0.27404,                 1.9816,                0.91041,                0.96176,             0.00078725,             0.00078725,             0.00078725
                     51,                 1.8575,                0.89584,                0.93474,                0.74099,                0.68165,                0.71119,                0.28219,                 1.9386,                0.89076,                0.95428,              0.0007625,              0.0007625,              0.0007625
                     52,                 1.8506,                0.88905,                0.93369,                0.73533,                0.67768,                0.70794,                0.27925,                 1.9594,                0.89599,                0.95786,             0.00073775,             0.00073775,             0.00073775
                     53,                 1.8441,                0.89024,                0.93374,                0.74441,                 0.6667,                0.70892,                0.28127,                 1.9466,                0.89225,                0.95681,               0.000713,               0.000713,               0.000713
                     54,                  1.829,                 0.8776,                 0.9294,                0.73727,                0.66467,                0.70655,                0.27853,                 1.9533,                0.89132,                0.95657,             0.00068825,             0.00068825,             0.00068825
                     55,                  1.813,                0.87154,                0.92668,                0.73735,                0.67382,                0.71052,                0.28251,                 1.9443,                 0.8809,                0.95619,              0.0006635,              0.0006635,              0.0006635
                     56,                 1.8053,                0.86606,                0.92724,                0.74107,                0.67338,                0.71217,                0.28339,                  1.956,                0.88769,                0.95713,             0.00063875,             0.00063875,             0.00063875
                     57,                 1.7966,                0.85681,                0.92644,                0.73924,                0.67626,                0.71412,                0.28492,                 1.9465,                0.87946,                0.95659,               0.000614,               0.000614,               0.000614
                     58,                 1.7836,                0.85523,                0.92395,                  0.731,                0.66756,                0.70703,                0.28344,                 1.9466,                0.88333,                0.95858,             0.00058925,             0.00058925,             0.00058925
                     59,                 1.7619,                0.83913,                0.92367,                0.73527,                  0.673,                0.70879,                0.28461,                 1.9487,                0.87984,                0.95741,              0.0005645,              0.0005645,              0.0005645
                     60,                 1.7693,                0.83837,                0.91937,                0.74892,                0.68155,                0.72014,                0.29071,                  1.928,                0.86818,                0.95619,             0.00053975,             0.00053975,             0.00053975
                     61,                 1.7562,                0.83682,                0.91841,                0.74445,                 0.6785,                 0.7152,                0.28767,                 1.9365,                0.87107,                0.95568,               0.000515,               0.000515,               0.000515
                     62,                 1.7483,                0.83184,                0.91878,                0.74289,                0.68317,                0.71967,                0.29014,                 1.9312,                0.86815,                 0.9548,             0.00049025,             0.00049025,             0.00049025
                     63,                 1.7447,                0.82307,                0.91617,                0.74744,                0.68306,                0.72162,                0.29202,                   1.93,                0.86202,                0.95619,              0.0004655,              0.0004655,              0.0004655
