                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9354,                 2.4164,                 1.1803,                0.32044,                0.34082,                0.23213,                0.06333,                 2.6761,                 1.8576,                  1.091,             0.00066506,             0.00066506,             0.00066506
                      2,                 2.7611,                 1.7364,                 1.1057,                0.32682,                0.28266,                0.24099,                0.06803,                 2.8715,                 1.7066,                 1.1464,              0.0013152,              0.0013152,              0.0013152
                      3,                  2.697,                 1.6349,                 1.0916,                0.46369,                0.40356,                 0.3608,                0.10924,                 2.5698,                 1.5382,                 1.0781,              0.0019489,              0.0019489,              0.0019489
                      4,                 2.6601,                 1.5799,                 1.0848,                0.42192,                0.38027,                0.33182,                0.09635,                 2.6345,                 1.5947,                 1.0859,              0.0019258,              0.0019258,              0.0019258
                      5,                 2.6164,                 1.5352,                  1.073,                 0.5241,                0.48553,                0.43063,                0.13074,                 2.4558,                 1.5083,                  1.049,               0.001901,               0.001901,               0.001901
                      6,                 2.5697,                 1.4793,                 1.0628,                0.54206,                0.45053,                0.44576,                0.13975,                 2.4253,                  1.389,                  1.042,              0.0018763,              0.0018763,              0.0018763
                      7,                 2.5547,                 1.4643,                 1.0569,                0.51473,                0.45064,                 0.4368,                0.13515,                 2.4936,                 1.4465,                  1.051,              0.0018515,              0.0018515,              0.0018515
                      8,                 2.5352,                 1.4349,                 1.0486,                0.61337,                0.48836,                0.50584,                0.16708,                 2.3749,                 1.3004,                 1.0374,              0.0018267,              0.0018267,              0.0018267
                      9,                 2.5042,                 1.4186,                 1.0425,                 0.5971,                0.52608,                0.51067,                 0.1704,                 2.3292,                 1.2781,                 1.0285,               0.001802,               0.001802,               0.001802
                     10,                 2.4943,                 1.3944,                  1.041,                0.59467,                0.50686,                0.49139,                 0.1639,                 2.3725,                 1.2777,                 1.0377,              0.0017772,              0.0017772,              0.0017772
                     11,                 2.4646,                 1.3721,                 1.0357,                0.56771,                0.50544,                 0.5045,                0.16435,                  2.342,                 1.2861,                 1.0211,              0.0017525,              0.0017525,              0.0017525
                     12,                 2.4459,                  1.356,                 1.0306,                0.59655,                0.51042,                0.52492,                0.17467,                  2.318,                 1.2658,                 1.0183,              0.0017278,              0.0017278,              0.0017278
                     13,                 2.4465,                 1.3401,                 1.0242,                 0.5778,                 0.4969,                0.51229,                0.17264,                 2.3102,                 1.2663,                 1.0097,               0.001703,               0.001703,               0.001703
                     14,                 2.4182,                 1.3283,                 1.0271,                0.61839,                0.53594,                0.54106,                0.18236,                 2.3056,                  1.228,                  1.014,              0.0016783,              0.0016783,              0.0016783
                     15,                 2.4139,                 1.3198,                 1.0242,                0.61857,                0.52334,                0.53558,                0.17947,                 2.3138,                 1.2284,                  1.011,              0.0016535,              0.0016535,              0.0016535
                     16,                 2.3892,                 1.3062,                 1.0168,                0.59768,                0.52293,                 0.5283,                0.17578,                 2.3097,                 1.2493,                 1.0096,              0.0016287,              0.0016287,              0.0016287
                     17,                 2.3859,                  1.293,                 1.0118,                 0.5932,                0.51686,                0.52951,                0.17394,                 2.3266,                 1.2336,                 1.0074,               0.001604,               0.001604,               0.001604
                     18,                 2.3837,                 1.2917,                 1.0121,                0.61785,                 0.5457,                0.55447,                 0.1891,                 2.2702,                 1.2108,                  1.001,              0.0015793,              0.0015793,              0.0015793
                     19,                 2.3728,                 1.2828,                 1.0118,                0.64436,                0.54511,                0.56102,                0.19227,                 2.2529,                 1.1925,                 1.0001,              0.0015545,              0.0015545,              0.0015545
                     20,                 2.3677,                 1.2806,                 1.0102,                0.62504,                0.55262,                 0.5699,                0.19981,                 2.2395,                 1.1829,                0.99734,              0.0015298,              0.0015298,              0.0015298
                     21,                 2.3535,                 1.2692,                 1.0091,                0.63658,                0.55496,                0.56902,                0.19649,                 2.2104,                 1.1762,                0.98963,               0.001505,               0.001505,               0.001505
                     22,                 2.3289,                 1.2511,                 1.0059,                0.59958,                0.53393,                0.53912,                0.18437,                 2.2725,                 1.1964,                 1.0023,              0.0014803,              0.0014803,              0.0014803
                     23,                 2.3265,                  1.242,                 1.0048,                0.65346,                0.57987,                0.58609,                0.20509,                 2.2158,                 1.1517,                0.98981,              0.0014555,              0.0014555,              0.0014555
